make,model,price,year,kilometers,kilowatts,engine_type,created_at
renault,clio,100.00,2003,232350,55,petrol,2020-07-23
renault,clio,100.00,1999,170000,43,petrol,2020-07-17
renault,clio,100.00,1993,94000,43,petrol,2020-09-09
renault,clio,100.00,1999,195000,58,petrol,2020-05-13
renault,clio,100.00,2003,270000,60,diesel,2020-05-30
renault,clio,100.00,2000,260000,43,petrol,2020-08-13
renault,clio,100.00,1997,106385,43,petrol,2020-05-08
renault,clio,100.00,2000,58,43,petrol,2020-06-02
renault,clio,100.00,2000,68,50,petrol,2020-05-10
renault,clio,100.00,1999,215000,43,petrol,2020-09-28
renault,clio,100.00,1997,87006,43,petrol,2020-06-03
renault,clio,100.00,2002,260000,55,petrol,2020-06-27
renault,clio,100.00,2000,58,43,petrol,2020-06-10
renault,clio,100.00,1999,170000,43,petrol,2020-07-19
renault,clio,100.00,2001,280000,43,petrol,2020-07-22
renault,clio,100.00,2000,98,72,petrol,2020-06-21
renault,clio,100.00,1998,226500,43,petrol,2020-09-30
renault,clio,100.00,1999,170000,43,petrol,2020-07-09
renault,clio,100.00,2001,222000,55,petrol,2020-08-04
renault,clio,100.00,2000,58,43,petrol,2020-05-22
renault,clio,100.00,2002,158000,55,petrol,2020-09-05
renault,clio,100.00,1999,280000,43,petrol,2020-05-04
renault,clio,110.00,2000,240000,43,petrol,2020-06-10
renault,clio,110.00,1999,250000,50,petrol,2020-10-02
renault,clio,110.00,2000,240000,43,petrol,2020-06-05
renault,clio,110.00,2000,240,43,petrol,2020-06-06
renault,clio,120.00,1996,180000,43,petrol,2020-05-25
renault,clio,120.00,1998,170000,43,petrol,2020-06-15
renault,clio,120.00,1997,98900,43,petrol,2020-06-03
renault,clio,120.00,2001,180000,48,diesel,2020-10-04
renault,clio,120.00,2000,200000,43,petrol,2020-10-06
renault,clio,120.00,2000,105000,43,petrol,2020-10-03
renault,clio,120.00,2004,334000,48,diesel,2020-06-03
renault,clio,120.00,1997,204275,43,petrol,2020-08-18
renault,clio,120.00,2000,58,43,petrol,2020-05-03
renault,clio,120.00,1998,146000,43,petrol,2020-07-17
renault,clio,120.00,1998,118000,43,petrol,2020-05-18
renault,clio,120.00,1993,200000,43,petrol,2020-05-05
renault,clio,125.00,1997,160000,43,petrol,2020-07-24
renault,clio,130.00,2001,200000,43,petrol,2020-05-08
renault,clio,130.00,1999,263000,43,petrol,2020-07-23
renault,clio,130.00,1999,19000,55,petrol,2020-07-16
renault,clio,130.00,1998,250000,55,petrol,2020-08-17
renault,clio,130.00,2000,240000,43,petrol,2020-06-01
renault,clio,130.00,1999,235000,43,petrol,2020-08-26
renault,clio,130.00,2002,220000,43,petrol,2020-08-03
renault,clio,130.00,2000,196843,43,petrol,2020-05-13
renault,clio,130.00,1999,58,43,petrol,2020-04-30
renault,clio,140.00,1999,211000,43,petrol,2020-06-24
renault,clio,140.00,2000,183451,43,petrol,2020-09-08
renault,clio,150.00,2003,280000,55,petrol,2020-08-14
renault,clio,150.00,1998,58,43,petrol,2020-05-13
renault,clio,150.00,1999,300000,43,petrol,2020-06-07
renault,clio,150.00,1994,214000,43,petrol,2020-05-25
renault,clio,150.00,1997,173000,43,petrol,2020-06-25
renault,clio,150.00,2000,58,43,petrol,2020-06-16
renault,clio,150.00,2020,60,44,petrol,2020-06-20
renault,clio,150.00,1998,223000,43,petrol,2020-07-13
renault,clio,150.00,1999,150000,43,petrol,2020-06-16
renault,clio,150.00,1998,265000,66,petrol,2020-07-14
renault,clio,150.00,2002,218000,55,petrol,2020-08-12
renault,clio,150.00,2000,145000,43,petrol,2020-08-15
renault,clio,150.00,1997,202000,43,petrol,2020-07-31
renault,clio,150.00,1999,140000,55,petrol,2020-05-28
renault,clio,150.00,1999,130000,43,petrol,2020-07-14
renault,clio,150.00,2001,200000,43,petrol,2020-06-29
renault,clio,150.00,1995,217000,43,petrol,2020-08-10
renault,clio,150.00,1999,237439,43,petrol,2020-06-18
renault,clio,150.00,1999,259000,55,petrol,2020-05-07
renault,clio,150.00,1999,255000,43,petrol,2020-05-26
renault,clio,150.00,1997,160000,43,petrol,2020-07-16
renault,clio,150.00,2001,2001,43,petrol,2020-08-03
renault,clio,150.00,2003,220000,60,diesel,2020-08-13
renault,clio,150.00,2000,58,43,petrol,2020-04-30
renault,clio,150.00,1998,58,43,petrol,2020-06-17
renault,clio,150.00,1999,160000,43,petrol,2020-09-25
renault,clio,150.00,1997,91000,43,petrol,2020-05-25
renault,clio,150.00,1997,220000,55,petrol,2020-06-19
renault,clio,150.00,1996,163000,55,petrol,2020-07-30
renault,clio,150.00,2000,108532,43,petrol,2020-08-22
renault,clio,150.00,1998,186000,43,petrol,2020-07-20
renault,clio,150.00,2001,280000,43,petrol,2020-06-23
renault,clio,150.00,2001,280000,43,petrol,2020-06-21
renault,clio,150.00,1992,121000,60,petrol,2020-06-04
renault,clio,150.00,1999,233909,43,petrol,2020-09-28
renault,clio,150.00,2000,197000,55,petrol,2020-07-30
renault,clio,150.00,1998,270000,55,petrol,2020-06-24
